Base                Size      Path
0x00000000b82f0000  0x21000   C:\msys64\mingw64\bin\python.exe
0x000000005fbb0000  0x1f8000  C:\Windows\SYSTEM32\ntdll.dll
0x000000005e4f0000  0xbd000   C:\Windows\System32\KERNEL32.DLL
0x000000005d2d0000  0x2ce000  C:\Windows\System32\KERNELBASE.dll
0x000000005dc40000  0x9e000   C:\Windows\System32\msvcrt.dll
0x0000000001050000  0x341000  C:\msys64\mingw64\bin\libpython3.10.dll
0x000000005f770000  0xae000   C:\Windows\System32\ADVAPI32.dll
0x000000005e610000  0x9c000   C:\Windows\System32\sechost.dll
0x000000005f0e0000  0x125000  C:\Windows\System32\RPCRT4.dll
0x000000005e5b0000  0x55000   C:\Windows\System32\SHLWAPI.dll
0x000000005f9a0000  0x6b000   C:\Windows\System32\WS2_32.dll
0x0000000046710000  0x22000   C:\msys64\mingw64\bin\libgcc_s_seh-1.dll
0x00000000551b0000  0xa000    C:\Windows\SYSTEM32\VERSION.dll
0x0000000051970000  0x16000   C:\msys64\mingw64\bin\libwinpthread-1.dll
0x000000005cc80000  0x18000   C:\Windows\SYSTEM32\CRYPTSP.dll
0x000000005c3a0000  0x34000   C:\Windows\system32\rsaenh.dll
0x000000005d710000  0x27000   C:\Windows\System32\bcrypt.dll
0x000000005cca0000  0xc000    C:\Windows\SYSTEM32\CRYPTBASE.dll
0x000000005d5a0000  0x82000   C:\Windows\System32\bcryptPrimitives.dll
0x0000000044fa0000  0x54000   C:\msys64\mingw64\lib\python3.10\site-packages\gi\_gi.cp310-mingw_x86_64.pyd
0x0000000058850000  0x10000   C:\msys64\mingw64\bin\libffi-7.dll
0x0000000045120000  0x3e000   C:\msys64\mingw64\bin\libgirepository-1.0-1.dll
0x00000000439d0000  0x57000   C:\msys64\mingw64\bin\libgobject-2.0-0.dll
0x0000000009020000  0x14f000  C:\msys64\mingw64\bin\libglib-2.0-0.dll
0x00000000466e0000  0x28000   C:\msys64\mingw64\bin\libintl-8.dll
0x000000005dd10000  0x12a000  C:\Windows\System32\ole32.dll
0x000000005d850000  0x100000  C:\Windows\System32\ucrtbase.dll
0x000000004b5f0000  0xf000    C:\msys64\mingw64\bin\libgmodule-2.0-0.dll
0x000000005f210000  0x354000  C:\Windows\System32\combase.dll
0x0000000000ea0000  0x1a4000  C:\msys64\mingw64\bin\libgio-2.0-0.dll
0x0000000019e10000  0x119000  C:\msys64\mingw64\bin\libiconv-2.dll
0x000000005e990000  0x744000  C:\Windows\System32\SHELL32.dll
0x000000005dce0000  0x2a000   C:\Windows\System32\GDI32.dll
0x000000005d630000  0x22000   C:\Windows\System32\win32u.dll
0x000000005db00000  0x9d000   C:\Windows\System32\msvcp_win.dll
0x000000005d740000  0x10b000  C:\Windows\System32\gdi32full.dll
0x000000005c780000  0xcb000   C:\Windows\SYSTEM32\DNSAPI.dll
0x000000005c730000  0x3b000   C:\Windows\SYSTEM32\IPHLPAPI.DLL
0x000000005e6c0000  0x1a0000  C:\Windows\System32\USER32.dll
0x0000000045f70000  0x24000   C:\msys64\mingw64\bin\zlib1.dll
0x0000000044d70000  0x4d000   C:\msys64\mingw64\bin\libpcre-1.dll
0x000000005e6b0000  0x8000    C:\Windows\System32\NSI.dll
0x000000005dc10000  0x30000   C:\Windows\System32\IMM32.DLL
