Base                Size      Path
0x00000000a5040000  0x21000   C:\msys64\mingw64\bin\python3.8.exe
0x0000000007df0000  0x1f5000  C:\WINDOWS\SYSTEM32\ntdll.dll
0x0000000006670000  0xbd000   C:\WINDOWS\System32\KERNEL32.DLL
0x0000000005870000  0x2c9000  C:\WINDOWS\System32\KERNELBASE.dll
0x0000000006bc0000  0x9e000   C:\WINDOWS\System32\msvcrt.dll
0x00000000a7450000  0x2ec000  C:\msys64\mingw64\bin\libpython3.8.dll
0x0000000006520000  0xac000   C:\WINDOWS\System32\ADVAPI32.dll
0x00000000065d0000  0x9c000   C:\WINDOWS\System32\sechost.dll
0x0000000006730000  0x12b000  C:\WINDOWS\System32\RPCRT4.dll
0x0000000005f30000  0x1a0000  C:\WINDOWS\System32\USER32.dll
0x0000000005840000  0x22000   C:\WINDOWS\System32\win32u.dll
0x0000000007130000  0x2a000   C:\WINDOWS\System32\GDI32.dll
0x00000000056b0000  0x10b000  C:\WINDOWS\System32\gdi32full.dll
0x0000000000fd0000  0x16000   C:\msys64\mingw64\bin\libwinpthread-1.dll
0x0000000005610000  0x9d000   C:\WINDOWS\System32\msvcp_win.dll
0x0000000005b40000  0x100000  C:\WINDOWS\System32\ucrtbase.dll
0x0000000007430000  0x6b000   C:\WINDOWS\System32\WS2_32.dll
0x00000000fb8f0000  0xa000    C:\WINDOWS\SYSTEM32\VERSION.dll
0x0000000006260000  0x30000   C:\WINDOWS\System32\IMM32.DLL
0x0000000005250000  0x18000   C:\WINDOWS\SYSTEM32\CRYPTSP.dll
0x0000000004610000  0x34000   C:\WINDOWS\system32\rsaenh.dll
0x0000000005590000  0x27000   C:\WINDOWS\System32\bcrypt.dll
0x0000000004e40000  0xc000    C:\WINDOWS\SYSTEM32\CRYPTBASE.dll
0x00000000057c0000  0x80000   C:\WINDOWS\System32\bcryptPrimitives.dll
0x0000000002630000  0x10000   C:\msys64\mingw64\lib\python3.8\lib-dynload\_heapq-cpython-38.dll
0x00000000f0850000  0x56000   C:\msys64\mingw64\lib\python3.8\site-packages\gi\_gi-cpython-38.dll
0x00000000daaa0000  0x141000  C:\msys64\mingw64\bin\libglib-2.0-0.dll
0x0000000007c80000  0x12a000  C:\WINDOWS\System32\ole32.dll
0x0000000006860000  0x355000  C:\WINDOWS\System32\combase.dll
0x00000000ffeb0000  0x3e000   C:\msys64\mingw64\bin\libgirepository-1.0-1.dll
0x0000000007530000  0x742000  C:\WINDOWS\System32\SHELL32.dll
0x00000000f07f0000  0x52000   C:\msys64\mingw64\bin\libgobject-2.0-0.dll
0x00000000f07c0000  0x28000   C:\msys64\mingw64\bin\libintl-8.dll
0x0000000000fc0000  0x10000   C:\msys64\mingw64\bin\libffi-7.dll
0x0000000000fb0000  0xf000    C:\msys64\mingw64\bin\libgmodule-2.0-0.dll
0x00000000a5bc0000  0x182000  C:\msys64\mingw64\bin\libgio-2.0-0.dll
0x00000000049d0000  0xcb000   C:\WINDOWS\SYSTEM32\DNSAPI.dll
0x0000000004980000  0x3b000   C:\WINDOWS\SYSTEM32\IPHLPAPI.DLL
0x00000000e5630000  0x10b000  C:\msys64\mingw64\bin\libiconv-2.dll
0x00000000f06e0000  0x4d000   C:\msys64\mingw64\bin\libpcre-1.dll
0x00000000f06b0000  0x24000   C:\msys64\mingw64\bin\zlib1.dll
0x0000000006510000  0x8000    C:\WINDOWS\System32\NSI.dll
0x00000000ffea0000  0xe000    C:\msys64\mingw64\lib\python3.8\site-packages\gi\_gi_cairo-cpython-38.dll
0x00000000f07a0000  0x11000   C:\msys64\mingw64\bin\libcairo-gobject-2.dll
0x00000000e1810000  0x110000  C:\msys64\mingw64\bin\libcairo-2.dll
0x00000000fe990000  0x7000    C:\WINDOWS\SYSTEM32\MSIMG32.dll
0x0000000061440000  0x1a000   C:\mingw64\bin\libgcc_s_seh-1.dll
0x00000000ef410000  0x54000   C:\msys64\mingw64\bin\libfontconfig-1.dll
0x00000000e9740000  0xb8000   C:\msys64\mingw64\bin\libfreetype-6.dll
0x00000000b1930000  0xae000   C:\msys64\mingw64\bin\libpixman-1-0.dll
0x0000000068b40000  0x40000   C:\msys64\mingw64\bin\libpng16-16.dll
0x00000000ef3d0000  0x37000   C:\msys64\mingw64\bin\libexpat-1.dll
0x00000000f05c0000  0x16000   C:\msys64\mingw64\bin\libbrotlidec.dll
0x00000000ef590000  0x1f000   C:\msys64\mingw64\bin\libbz2-1.dll
0x00000000b0a70000  0xfc000   C:\msys64\mingw64\bin\libharfbuzz-0.dll
0x00000000f82f0000  0x19000   C:\WINDOWS\SYSTEM32\USP10.dll
0x00000000ecd20000  0x2c000   C:\msys64\mingw64\bin\libbrotlicommon.dll
0x00000000eccf0000  0x2d000   C:\msys64\mingw64\bin\libgraphite2.dll
0x000000006fc40000  0x163000  C:\mingw64\bin\libstdc++-6.dll
0x00000000ec580000  0x32000   C:\msys64\mingw64\lib\python3.8\site-packages\cairo\_cairo-cpython-38.dll
0x00000000ef4e0000  0x17000   C:\msys64\mingw64\lib\python3.8\lib-dynload\_socket-cpython-38.dll
0x00000000eccd0000  0x18000   C:\msys64\mingw64\lib\python3.8\lib-dynload\math-cpython-38.dll
0x00000000fe5c0000  0xd000    C:\msys64\mingw64\lib\python3.8\lib-dynload\select-cpython-38.dll
0x00000000e98b0000  0x4f000   C:\msys64\mingw64\bin\libpango-1.0-0.dll
0x0000000066880000  0x19000   C:\msys64\mingw64\bin\libthai-0.dll
0x0000000007160000  0x55000   C:\WINDOWS\System32\SHLWAPI.dll
0x00000000ecb20000  0x2b000   C:\msys64\mingw64\bin\libfribidi-0.dll
0x0000000068ac0000  0x11000   C:\msys64\mingw64\bin\libdatrie-1.dll
0x00000000ebfc0000  0x30000   C:\msys64\mingw64\bin\libgdk_pixbuf-2.0-0.dll
0x00000000b34e0000  0x1ab000  C:\WINDOWS\WinSxS\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.19041.789_none_faf0a7e97612e7bb\gdiplus.dll
0x00000000a5920000  0x13a000  C:\msys64\mingw64\bin\libgdk-3-0.dll
0x0000000006cc0000  0x469000  C:\WINDOWS\System32\SETUPAPI.dll
0x00000000055c0000  0x4e000   C:\WINDOWS\System32\cfgmgr32.dll
0x0000000003180000  0x2f000   C:\WINDOWS\SYSTEM32\dwmapi.dll
0x00000000faf90000  0x27000   C:\WINDOWS\SYSTEM32\WINMM.dll
0x00000000eca00000  0x18000   C:\msys64\mingw64\bin\libpangocairo-1.0-0.dll
